code,name,city,state
ATL,Atlanta International Airport,Atlanta,GA
DFW,Dallas/Fort Worth International Airport,Dallas,TX
JFK,John F. Kennedy International Airport,New York,NY
LAX,Los Angeles International Airport,Los Angeles,CA
ORD,O'Hare International Airport,Chicago,IL
SFO,San Francisco International Airport,San Francisco,CA
DEN,Denver International Airport,Denver,CO
CLT,Charlotte Douglas International Airport,Charlotte,NC
MIA,Miami International Airport,Miami,FL
EWR,Newark Liberty International Airport,Newark,NJ
DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI
BOS,Boston Logan International Airport,Boston,MA
PHL,Philadelphia International Airport,Philadelphia,PA
LGA,LaGuardia Airport,New York,NY
IAD,Washington Dulles International Airport,Washington,DC
OAK,Oakland International Airport,Oakland,CA
SEA,Seattle-Tacoma International Airport,Seattle,WA
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ
IAH,George Bush Intercontinental Airport,Houston,TX
LAS,Harry Reid International Airport,Las Vegas,NV
MCO,Orlando International Airport,Orlando,FL
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN
